Date,Price,Open,High,Low,Change %
27-Aug-14,4599.46,4599.46,4599.46,4599.46,0.19%
28-Aug-14,4577.99,4577.99,4577.99,4577.99,-0.47%
31-Aug-14,4549.51,4549.51,4549.51,4549.51,-0.62%
1-Sep-14,4554.97,4554.97,4554.97,4554.97,0.12%
2-Sep-14,4602.43,4602.43,4602.43,4602.43,1.04%
3-Sep-14,4632.46,4632.46,4632.46,4632.46,0.65%
4-Sep-14,4642.37,4642.37,4642.37,4642.37,0.21%
7-Sep-14,4641.45,4641.45,4641.45,4641.45,-0.02%
8-Sep-14,4608.95,4608.95,4608.95,4608.95,-0.70%
9-Sep-14,4647.43,4647.43,4647.43,4647.43,0.83%
10-Sep-14,4663.13,4663.13,4663.13,4663.13,0.34%
11-Sep-14,4675.91,4675.91,4675.91,4675.91,0.27%
14-Sep-14,4713.58,4713.58,4713.58,4713.58,0.81%
15-Sep-14,4709.91,4709.91,4709.91,4709.91,-0.08%
16-Sep-14,4759.39,4759.39,4759.39,4759.39,1.05%
17-Sep-14,4798.39,4798.39,4798.39,4798.39,0.82%
18-Sep-14,4866.19,4866.19,4866.19,4866.19,1.41%
21-Sep-14,4913.24,4913.24,4913.24,4913.24,0.97%
22-Sep-14,4924.52,4924.52,4924.52,4924.52,0.23%
23-Sep-14,4967.11,4967.11,4967.11,4967.11,0.86%
24-Sep-14,4979.72,4979.72,4979.72,4979.72,0.25%
25-Sep-14,5026.92,5026.92,5026.92,5026.92,0.95%
28-Sep-14,5072.2,5072.2,5072.2,5072.2,0.90%
29-Sep-14,5050.34,5050.34,5050.34,5050.34,-0.43%
30-Sep-14,5074.3,5074.3,5074.3,5074.3,0.47%
1-Oct-14,5153.26,5153.26,5153.26,5153.26,1.56%
2-Oct-14,5237.72,5237.72,5237.72,5237.72,1.64%
12-Oct-14,5334.03,5334.03,5334.03,5334.03,1.84%
13-Oct-14,5309.24,5309.24,5309.24,5309.24,-0.46%
14-Oct-14,5292.6,5292.6,5292.6,5292.6,-0.31%
15-Oct-14,5315.11,5315.11,5315.11,5315.11,0.43%
16-Oct-14,5285.83,5285.83,5285.83,5285.83,-0.55%
19-Oct-14,5176.75,5176.75,5176.75,5176.75,-2.06%
20-Oct-14,5144.5,5144.5,5144.5,5144.5,-0.62%
21-Oct-14,5233.82,5233.82,5233.82,5233.82,1.74%
22-Oct-14,5170.15,5170.15,5170.15,5170.15,-1.22%
23-Oct-14,5154.1,5154.1,5154.1,5154.1,-0.31%
26-Oct-14,5111.63,5111.63,5111.63,5111.63,-0.82%
27-Oct-14,5157.24,5157.24,5157.24,5157.24,0.89%
28-Oct-14,5128.84,5128.84,5128.84,5128.84,-0.55%
29-Oct-14,5109.42,5109.42,5109.42,5109.42,-0.38%
30-Oct-14,5173.23,5173.23,5173.23,5173.23,1.25%
2-Nov-14,5105.22,5105.22,5105.22,5105.22,-1.31%
3-Nov-14,5065.14,5065.14,5065.14,5065.14,-0.79%
5-Nov-14,5017.22,5017.22,5017.22,5017.22,-0.95%
6-Nov-14,5025.1,5025.1,5025.1,5025.1,0.16%
